,Chunk Size,Chunk Overlap,Top K,Relevancy Score,Correctness Score,Avg Response Time
0,128,64,3,0.9333,3.2333,1.1671
1,128,64,4,1.0000,3.5000,1.3821
2,128,64,5,1.0000,3.6333,1.3721
3,128,64,6,0.9333,3.7333,1.7209
4,128,64,7,1.0000,3.7667,1.6092
5,128,64,8,0.9333,3.5333,1.6344
6,128,64,9,1.0000,3.8000,1.7123
7,128,64,10,0.9667,3.6000,1.8863
8,128,64,11,1.0000,3.7667,1.9123
9,128,64,12,0.9667,3.6667,1.9782
10,128,64,13,1.0000,3.7333,2.2138
11,128,64,14,0.9667,3.6333,2.2721
12,128,64,15,0.9667,3.6333,2.4778
13,128,12,3,0.9000,3.5000,0.9709
14,128,12,4,0.9333,3.5000,1.0249
15,128,12,5,0.9000,3.7667,1.2203
16,128,12,6,0.7333,3.6333,1.1905
17,128,12,7,0.8667,3.8000,1.5682
18,128,12,8,0.9000,3.5000,1.3687
19,128,12,9,0.9000,3.8000,0.8462
20,128,12,10,0.9333,3.7000,0.8879
21,128,12,11,0.9000,3.7333,0.9699
22,128,12,12,0.9000,3.7667,0.9917
23,128,12,13,0.9333,3.5000,1.0538
24,128,12,14,0.8667,3.9333,1.1171
25,128,12,15,0.9000,3.9667,1.2482
26,128,19,3,0.9000,3.2333,0.6940
27,128,19,4,0.9333,3.3667,0.6880
28,128,19,5,0.9333,3.7667,0.7471
29,128,19,6,0.8333,3.7667,0.8057
30,128,19,7,0.9000,3.8667,0.8566
31,128,19,8,0.9333,3.7667,0.9352
32,128,19,9,0.9000,3.8333,0.9533
33,128,19,10,0.9000,3.9000,0.9887
34,128,19,11,0.9667,4.0333,0.9583
35,128,19,12,1.0000,3.7333,1.0472
36,128,19,13,0.9667,3.8667,1.0669
37,128,19,14,0.9333,3.7667,1.0924
38,128,19,15,0.9667,3.8667,1.1222
39,128,25,3,0.9000,2.9333,0.5933
40,128,25,4,0.9333,3.4667,0.6139
41,128,25,5,1.0000,3.6333,0.7882
42,128,25,6,0.9667,3.8000,0.7874
43,128,25,7,0.9667,3.7667,0.8429
44,128,25,8,1.0000,3.6000,0.8607
45,128,25,9,1.0000,3.7667,0.8549
46,128,25,10,0.9667,3.8000,0.9207
47,128,25,11,0.9667,3.9667,0.9646
48,128,25,12,0.9667,3.9000,1.0071
49,128,25,13,0.9000,3.6667,1.0355
50,128,25,14,0.9000,3.6333,1.1235
51,128,25,15,0.9333,3.5000,1.1097
52,192,96,3,0.9333,3.4667,0.7451
53,192,96,4,0.9333,3.5333,0.8240
54,192,96,5,1.0000,3.5000,0.9004
55,192,96,6,1.0000,3.6333,0.9427
56,192,96,7,0.9333,3.9000,1.0335
57,192,96,8,0.9333,3.8000,1.1118
58,192,96,9,0.9667,3.7667,1.1656
59,192,96,10,0.9333,3.9000,1.2399
60,192,96,11,0.9667,3.8667,1.3283
61,192,96,12,1.0000,3.6333,1.3793
62,192,96,13,0.9667,3.7667,1.4205
63,192,96,14,0.9667,3.9000,1.4606
64,192,96,15,0.9667,3.9000,1.4959
65,192,19,3,0.9667,3.6333,0.6913
66,192,19,4,0.9000,3.7667,0.6678
67,192,19,5,0.9333,3.6333,0.7564
68,192,19,6,0.9667,3.6667,0.7857
69,192,19,7,0.9667,3.9000,0.9052
70,192,19,8,0.9667,3.7667,0.9201
71,192,19,9,0.9667,3.7333,1.0163
72,192,19,10,0.9333,3.6667,1.0358
73,192,19,11,1.0000,3.6333,1.1342
74,192,19,12,0.9333,3.6667,1.1865
75,192,19,13,0.9333,3.9000,1.2506
76,192,19,14,0.9667,3.9000,1.2896
77,192,19,15,1.0000,3.6667,1.3605
78,192,28,3,0.9667,3.4667,0.6943
79,192,28,4,0.9000,3.3667,0.6849
80,192,28,5,1.0000,3.6000,0.7641
81,192,28,6,1.0000,3.4667,0.8157
82,192,28,7,0.9667,3.9000,0.8567
83,192,28,8,0.9667,3.9333,0.9729
84,192,28,9,0.9667,3.9000,1.0089
85,192,28,10,0.9667,3.6333,1.0598
86,192,28,11,0.9667,3.9000,1.1794
87,192,28,12,0.9333,3.7333,1.1587
88,192,28,13,0.9667,3.5000,1.2435
89,192,28,14,1.0000,3.8000,1.3101
90,192,28,15,1.0000,3.9333,1.3732
91,192,38,3,0.9000,3.4000,0.7096
92,192,38,4,0.9667,3.5333,0.7079
93,192,38,5,0.9333,3.4667,0.7624
94,192,38,6,0.9667,3.7667,0.7836
95,192,38,7,1.0000,3.8667,0.9166
96,192,38,8,0.9333,3.9000,0.9719
97,192,38,9,0.9333,3.8000,1.0453
98,192,38,10,0.9333,3.8000,1.0549
99,192,38,11,0.9333,3.8333,1.1581
100,192,38,12,0.9333,3.9000,1.2282
101,192,38,13,0.9333,3.9000,1.2761
102,192,38,14,0.9667,3.9000,1.3485
103,192,38,15,0.9000,3.6000,1.4124
104,256,128,3,0.9000,3.6000,0.8306
105,256,128,4,0.8667,3.7667,0.7915
106,256,128,5,0.9667,3.7667,0.9289
107,256,128,6,0.9000,3.7667,0.9877
108,256,128,7,0.9333,3.7333,1.0682
109,256,128,8,0.8667,3.5333,1.1586
110,256,128,9,0.8667,3.9333,1.3072
111,256,128,10,0.9000,3.7667,1.4048
112,256,128,11,0.8333,3.6000,1.4569
113,256,128,12,0.9000,3.9000,1.6405
114,256,128,13,0.8667,3.7000,1.6627
115,256,128,14,0.9667,3.6333,1.7062
116,256,128,15,0.9667,3.3333,2.2052
117,256,25,3,0.9000,3.4667,0.7930
118,256,25,4,0.9333,3.8333,0.8243
119,256,25,5,0.9000,3.7333,0.8897
120,256,25,6,0.9333,3.6000,0.9842
121,256,25,7,0.9333,3.9333,1.0757
122,256,25,8,0.9000,3.8333,1.1125
123,256,25,9,0.9333,4.0000,1.2309
124,256,25,10,0.8000,3.6667,1.3389
125,256,25,11,0.8667,3.9000,1.3886
126,256,25,12,0.9000,3.9000,1.4436
127,256,25,13,0.9333,3.8667,1.5371
128,256,25,14,0.9333,4.0333,1.6752
129,256,25,15,0.9000,3.8667,1.7165
130,256,38,3,0.9000,3.6333,0.7627
131,256,38,4,0.9333,3.8000,0.8117
132,256,38,5,0.9000,3.7667,0.9365
133,256,38,6,0.9000,3.9333,0.9947
134,256,38,7,0.9333,3.9000,1.0747
135,256,38,8,0.9000,3.9000,1.2025
136,256,38,9,0.9000,3.9333,1.2264
137,256,38,10,0.9333,3.9667,1.2818
138,256,38,11,0.9000,3.7667,1.3426
139,256,38,12,0.8667,3.9000,1.4828
140,256,38,13,0.8333,3.7667,1.5340
141,256,38,14,0.8333,3.7333,1.6680
142,256,38,15,0.8667,4.0667,2.0106
143,256,51,3,0.8000,3.6333,0.8934
144,256,51,4,0.6667,3.6667,0.7863
145,256,51,5,0.8667,3.8000,0.9044
146,256,51,6,0.7667,3.6333,0.9442
147,256,51,7,0.8000,3.8000,1.0422
148,256,51,8,0.8000,3.5000,1.2532
149,256,51,9,0.8333,3.4000,1.3370
150,256,51,10,0.8333,3.6667,1.3050
151,256,51,11,0.8000,3.5000,1.3931
152,256,51,12,0.8333,3.5000,1.4808
153,256,51,13,0.8000,3.6333,1.5931
154,256,51,14,0.8333,4.0000,1.6985
155,256,51,15,0.9000,3.7667,1.7652
156,384,192,3,0.9333,3.6000,0.9615
157,384,192,4,0.9667,3.9667,0.9766
158,384,192,5,1.0000,4.0333,1.1600
159,384,192,6,0.9333,3.9333,1.3699
160,384,192,7,1.0000,4.0667,1.3773
161,384,192,8,0.9000,3.8667,1.5391
162,384,192,9,0.9000,3.8667,1.6346
163,384,192,10,0.9667,3.7667,2.0125
164,384,192,11,0.8333,3.7667,2.9689
165,384,192,12,0.8667,3.3333,3.3958
166,384,192,13,0.9667,3.0667,3.8203
167,384,192,14,0.9667,3.3333,4.2353
168,384,192,15,1.0000,3.3333,5.0053
169,384,38,3,0.9333,3.9333,0.9390
170,384,38,4,0.9000,3.9000,1.0296
171,384,38,5,0.9333,3.8667,1.0522
172,384,38,6,0.9333,3.7333,1.1535
173,384,38,7,0.9000,3.7333,1.3286
174,384,38,8,0.8667,3.9333,1.4533
175,384,38,9,0.9667,4.0667,1.5012
176,384,38,10,0.9333,3.8333,1.6822
177,384,38,11,0.9667,3.8667,1.9231
178,384,38,12,0.9333,3.7667,2.6217
179,384,38,13,0.8667,3.3333,3.2160
180,384,38,14,0.8667,3.0667,3.4434
181,384,38,15,0.8667,3.3333,3.7823
182,384,57,3,0.9667,3.8000,0.9901
183,384,57,4,0.9000,3.7333,0.9180
184,384,57,5,0.9667,3.7667,0.9750
185,384,57,6,0.9667,3.8667,1.1127
186,384,57,7,0.9667,4.0333,1.2819
187,384,57,8,0.9667,3.8333,1.3361
188,384,57,9,0.9000,3.9667,1.5451
189,384,57,10,0.9000,3.7667,1.8049
190,384,57,11,0.9667,3.7333,1.8823
191,384,57,12,0.9333,3.6000,2.6219
192,384,57,13,0.8667,3.0667,3.2349
193,384,57,14,0.8000,3.0667,4.0342
194,384,57,15,0.9333,3.3667,3.9624
195,384,76,3,0.9333,3.7667,0.9066
196,384,76,4,0.9333,3.7667,0.9147
197,384,76,5,0.9333,3.6333,0.9809
198,384,76,6,0.9667,3.7667,1.1108
199,384,76,7,0.9667,4.0000,1.3723
200,384,76,8,0.9333,3.8000,1.3251
201,384,76,9,0.9000,3.9000,1.5511
202,384,76,10,0.9333,3.7333,1.6785
203,384,76,11,0.9333,3.9000,2.1414
204,384,76,12,0.8333,2.9333,3.2904
205,384,76,13,0.9333,2.8000,3.9560
206,384,76,14,0.9667,2.9333,4.3518
207,384,76,15,0.9667,2.9333,4.5429
208,512,256,3,0.9000,3.7667,1.1405
209,512,256,4,0.8667,3.9667,1.2696
210,512,256,5,0.9333,3.6667,1.2876
211,512,256,6,0.8667,3.7667,1.5074
212,512,256,7,0.8667,3.6000,1.7270
213,512,256,8,0.9667,3.5000,2.8236
214,512,256,9,0.9333,2.9333,3.5694
215,512,256,10,0.9667,2.8000,4.1814
216,512,256,11,0.9333,3.3333,4.4225
217,512,256,12,0.9667,3.3333,4.4350
218,512,256,13,0.9333,2.9333,5.8139
219,512,256,14,0.9333,3.3667,4.8858
220,512,256,15,0.9333,2.9333,6.7030
221,512,51,3,0.9333,3.9000,1.0954
222,512,51,4,0.8667,3.9000,1.1666
223,512,51,5,0.9000,4.0000,1.3273
224,512,51,6,0.8333,3.6000,1.5177
225,512,51,7,0.9000,3.8667,1.6317
