Chunk Size,Chunk Overlap,Top K,Relevancy Score,Correctness Score,Avg Response Time
128,12,3,0.9,3.5,0.9709
128,12,4,0.9333,3.5,1.0249
128,12,5,0.9,3.7667,1.2203
128,12,6,0.7333,3.6333,1.1905
128,12,7,0.8667,3.8,1.5682
128,12,8,0.9,3.5,1.3687
128,12,9,0.9,3.8,0.8462
128,12,10,0.9333,3.7,0.8879
128,12,11,0.9,3.7333,0.9699
128,12,12,0.9,3.7667,0.9917
128,12,13,0.9333,3.5,1.0538
128,12,14,0.8667,3.9333,1.1171
128,12,15,0.9,3.9667,1.2482
128,19,3,0.9,3.2333,0.694
128,19,4,0.9333,3.3667,0.688
128,19,5,0.9333,3.7667,0.7471
128,19,6,0.8333,3.7667,0.8057
128,19,7,0.9,3.8667,0.8566
128,19,8,0.9333,3.7667,0.9352
128,19,9,0.9,3.8333,0.9533
128,19,10,0.9,3.9,0.9887
128,19,11,0.9667,4.0333,0.9583
128,19,12,1,3.7333,1.0472
128,19,13,0.9667,3.8667,1.0669
128,19,14,0.9333,3.7667,1.0924
128,19,15,0.9667,3.8667,1.1222
128,25,3,0.9,2.9333,0.5933
128,25,4,0.9333,3.4667,0.6139
128,25,5,1,3.6333,0.7882
128,25,6,0.9667,3.8,0.7874
128,25,7,0.9667,3.7667,0.8429
128,25,8,1,3.6,0.8607
128,25,9,1,3.7667,0.8549
128,25,10,0.9667,3.8,0.9207
128,25,11,0.9667,3.9667,0.9646
128,25,12,0.9667,3.9,1.0071
128,25,13,0.9,3.6667,1.0355
128,25,14,0.9,3.6333,1.1235
128,25,15,0.9333,3.5,1.1097
192,19,3,0.9667,3.6333,0.6913
192,19,4,0.9,3.7667,0.6678
192,19,5,0.9333,3.6333,0.7564
192,19,6,0.9667,3.6667,0.7857
192,19,7,0.9667,3.9,0.9052
192,19,8,0.9667,3.7667,0.9201
192,19,9,0.9667,3.7333,1.0163
192,19,10,0.9333,3.6667,1.0358
192,19,11,1,3.6333,1.1342
192,19,12,0.9333,3.6667,1.1865
192,19,13,0.9333,3.9,1.2506
192,19,14,0.9667,3.9,1.2896
192,19,15,1,3.6667,1.3605
192,28,3,0.9667,3.4667,0.6943
192,28,4,0.9,3.3667,0.6849
192,28,5,1,3.6,0.7641
192,28,6,1,3.4667,0.8157
192,28,7,0.9667,3.9,0.8567
192,28,8,0.9667,3.9333,0.9729
192,28,9,0.9667,3.9,1.0089
192,28,10,0.9667,3.6333,1.0598
192,28,11,0.9667,3.9,1.1794
192,28,12,0.9333,3.7333,1.1587
192,28,13,0.9667,3.5,1.2435
192,28,14,1,3.8,1.3101
