Chunk Size,Chunk Overlap,Top K,Relevancy Score,Correctness Score,Avg Response Time
512,25,3,0.9333,4.0333,1.5652
512,25,4,0.9333,3.9333,1.2893
512,25,5,0.9000,3.9667,1.2641
512,25,6,0.9333,3.6667,1.4059
512,25,7,0.9667,3.8000,1.7365
512,25,8,0.8333,3.7333,3.3566
512,25,9,0.9000,3.2000,5.3449
512,25,10,0.9667,3.3333,6.9861
512,25,11,0.9667,3.3333,7.5587
512,25,12,0.9667,2.8000,7.8427
512,25,13,1.0000,3.4667,7.5967
512,25,14,0.9333,3.6000,8.1991
512,25,15,1.0000,3.2000,8.0140
512,51,3,0.9333,3.9667,1.9125
512,51,4,0.8667,3.8667,2.1288
512,51,5,0.9000,3.9333,2.3538
512,51,6,0.8333,3.8000,2.5325
512,51,7,0.9000,3.7333,2.7902
512,51,8,0.8000,3.6000,3.8514
512,51,9,0.7333,2.6667,6.1162
512,51,10,0.8667,2.8000,7.6960
512,51,11,0.8667,3.2000,7.9656
512,51,12,0.9667,3.4667,7.9505
512,51,13,0.9667,2.5333,8.2937
512,51,14,0.9667,3.2000,5.2010
512,51,14,0.9333,3.3333,8.2643
512,51,15,0.9667,3.4667,8.5187
512,25,3,0.9333,3.9000,2.1404
512,25,4,0.9333,3.7333,2.4023
512,25,5,0.9333,3.9000,2.5142
512,25,6,0.9000,3.7333,2.5170
512,25,7,0.9333,3.6667,2.6371
512,25,8,0.8333,3.4000,3.4308
512,25,9,0.9000,3.4000,5.1087
512,25,10,0.8667,2.5333,7.6587
512,25,11,0.9333,2.9333,7.3856
512,25,12,0.9667,2.9333,8.0205
512,25,13,0.9667,3.4667,7.8654
512,25,14,0.9333,3.2000,8.3742
512,25,15,1.0000,3.6000,8.9661
512,51,3,0.9333,3.8000,2.0583
512,51,4,0.8667,3.6000,2.1899
512,51,5,0.9333,3.8667,2.6348
512,51,6,0.8667,3.7333,2.7483
512,51,7,0.8667,3.8667,2.7194
512,51,8,0.8000,3.3667,3.7633
512,51,9,0.8667,3.0667,6.6007
512,51,10,0.9333,2.9333,7.6282
512,51,11,0.9000,3.2000,8.1316
512,51,12,0.8667,2.8000,5.3049
512,51,13,0.9333,3.4667,6.3754
512,51,14,0.9333,3.0667,7.9853
512,51,15,0.9000,3.3333,8.4337
512,76,3,0.9333,3.9333,1.8019
512,76,4,0.9000,4.0333,2.3114
512,76,5,0.9667,3.7667,2.4744
512,76,6,0.8667,3.9000,2.5201
512,76,7,0.9000,3.7667,2.7684
512,76,8,0.8000,3.4667,3.8410
512,76,9,0.8667,2.8000,6.6257
512,76,10,0.9667,3.0667,7.7732
512,76,11,0.9333,3.6000,7.9606
512,76,12,0.9667,3.0667,8.4504
512,76,13,0.9333,3.4667,8.1500
512,76,14,0.9333,3.2333,8.2919
512,76,15,1.0000,3.7333,8.9232
512,102,3,0.9000,3.9333,1.9780
512,102,4,0.9000,3.6000,2.2582
512,102,5,0.9000,4.0333,2.5510
512,102,6,0.9000,4.0667,2.5400
512,102,7,0.9333,3.9333,2.7318
512,102,8,0.9000,3.7333,4.0695
512,102,9,0.9333,3.2333,6.5957
512,102,10,0.9667,3.2333,8.0089
512,102,11,0.9667,3.3333,7.6810
512,102,12,0.9333,2.9333,8.1440
