Chunk Size,Chunk Overlap,Top K,Relevancy Score,Correctness Score,Avg Response Time
512,102,13,0.9000,3.0667,5.6431
512,102,14,0.9333,3.3333,5.6891
512,102,15,1.0000,3.4667,7.6407
768,38,3,0.9000,3.7667,1.1525
768,38,4,0.8667,3.4667,1.3426
768,38,5,0.9333,3.8667,2.2478
768,38,6,0.9333,3.8667,3.9416
768,38,7,0.9000,3.2333,4.3513
768,38,8,0.9000,3.2000,5.6700
768,38,9,0.9667,3.4667,7.8984
768,38,10,0.9333,3.3333,8.2970
768,38,11,1.0000,3.2000,8.7745
768,38,12,0.9667,2.9333,10.5195
768,38,13,0.9333,2.5333,11.7660
768,38,14,0.9667,2.5333,12.6318
768,38,15,0.9667,3.3333,12.0335
768,76,3,0.9000,3.8333,1.2431
768,76,4,0.9333,3.8000,1.4321
768,76,5,0.9667,3.9000,1.6212
768,76,6,0.9667,4.0333,2.6352
768,76,7,0.9667,3.3333,3.9554
768,76,8,0.9667,3.3333,4.9446
768,76,9,0.9667,3.0667,7.8691
768,76,10,0.9667,3.3333,8.9071
768,76,11,0.9667,3.6000,8.5678
768,76,12,0.9667,2.6667,9.3585
