Chunk Size,Chunk Overlap,Top K,Relevancy Score,Correctness Score,Avg Response Time
768,115,5,0.9000,3.9000,2.7209
768,115,7,0.9000,3.6000,5.3221
768,115,10,0.9333,3.4667,8.1202
768,153,5,0.8333,3.4667,2.9967
768,153,7,0.9000,2.9333,5.8271
768,153,10,0.9333,2.9333,5.9118
1024,51,5,0.9667,3.8667,1.9859
1024,51,7,0.9667,3.7333,3.8292
1024,51,10,0.9000,3.2000,6.5200
1024,102,5,0.9333,3.8667,2.0597
1024,102,7,0.9000,3.3333,4.5555
1024,102,10,0.9333,3.0667,6.0719
1024,153,5,0.9667,3.9333,1.9838
1024,153,7,0.8333,3.0667,4.1684
1024,153,10,0.9667,3.3333,7.3471
1024,204,5,0.9000,3.8667,2.2829
1024,204,7,0.8333,2.7000,4.7697
1024,204,10,0.9667,2.9333,8.8992
1536,76,5,1.0000,3.3667,4.3494
1536,76,7,0.9000,3.3333,8.1517
1536,76,10,0.8333,2.9333,9.4241
1536,153,5,0.9667,3.5333,6.3540
1536,153,7,0.9667,3.6000,8.9962
1536,153,10,0.9667,2.9333,12.7139
1536,230,5,0.9333,3.0667,7.0938
1536,230,7,0.9667,3.4667,9.7418
1536,230,10,1.0000,2.8000,10.0441
1536,307,5,0.9667,3.8667,6.6885
1536,307,7,0.9667,3.0667,8.7264
1536,307,10,0.9333,2.8000,9.8823
2048,102,5,0.9667,3.4667,6.3125
2048,102,7,0.9667,3.2000,7.1246
2048,102,10,0.9333,3.3333,9.1744
2048,204,5,0.9333,3.3667,3.5675
2048,204,7,0.9667,3.2000,5.7909
2048,204,10,0.9333,2.8000,8.8981
2048,307,5,0.9667,3.6000,3.8734
2048,307,7,0.9000,3.4667,6.2200
2048,307,10,0.9667,3.4667,9.0427
2048,409,5,1.0000,3.2000,3.7722
2048,409,7,0.9000,3.0667,6.0276
2048,409,10,1.0000,2.8000,11.9728
128,6,5,0.9333,3.8000,1.3226
128,6,7,0.9333,3.8000,1.3326
128,6,10,0.9667,3.7333,1.6568
192,9,5,0.9333,3.6333,1.4500
192,9,7,0.9667,3.8000,1.8975
192,9,10,0.9000,3.9333,2.1450
256,12,5,0.9333,3.6000,1.9227
256,12,7,0.9000,4.0000,2.1223
256,12,10,0.9000,3.7667,2.3185
384,19,5,1.0000,3.8667,1.8271
384,19,7,0.9333,4.0000,1.5654
384,19,10,1.0000,3.9000,1.5728
